"species","life_form"
"Streptocarpus hildebrandtii Vatke","no_life_form_on_database"
"Streptocarpus perrieri Humbert","no_life_form_on_database"
"Streptocarpus macropodus B.L.Burtt","no_life_form_on_database"
"Streptocarpus itremensis B.L.Burtt","no_life_form_on_database"
"Streptocarpus ibityensis Humbert","no_life_form_on_database"
"Streptocarpus papangae Humbert","no_life_form_on_database"
"Streptocarpus glandulosissimus Engl.","perennial"
"Streptocarpus caulescens Vatke","perennial"
"Streptocarpus buchananii C.B.Clarke","perennial"
"Streptocarpus pallidiflorus C.B.Clarke","perennial"
"Streptocarpus holstii Engl.","perennial"
"Streptocarpus stomandrus B.L.Burtt","perennial"
"Streptocarpus kirkii Hook.fil.","perennial"
"Streptocarpus saxorum Engl.","perennial"
"Saintpaulia nitida B.L.Burtt","no_life_form_on_database"
"Saintpaulia brevipilosa B.L.Burtt","no_life_form_on_database"
"Saintpaulia ionantha subsp. velutina (B.L.Burtt) I.Darbysh. I.Darbysh. (B.L.Burtt)","no_life_form_on_database"
"Saintpaulia ionantha subsp. ionantha","no_life_form_on_database"
"Saintpaulia teitensis B.L.Burtt","no_life_form_on_database"
"Streptocarpus hilsenbergii R.Br.","no_life_form_on_database"
"Streptocarpus tanala Humbert","no_life_form_on_database"
"Streptocarpus thompsonii R.Br.","no_life_form_on_database"
"Streptocarpus madagascaricus (C.B.Clarke) Christenh. Christenh. (C.B.Clarke)","no_life_form_on_database"
"Streptocarpus andohahelensis Humbert","no_life_form_on_database"
"Acanthonema strigosum Hook.fil.","no_life_form_on_database"
"Streptocarpus nobilis C.B.Clarke","perennial"
"Streptocarpus thysanotus Hilliard & B.L.Burtt","annual"
"Streptocarpus kimbozanus B.L.Burtt","annual"
"Streptocarpus elongatus Engl.","perennial"
"Streptocarpus kamerunensis (Engl.) Christenh. Christenh. (Engl.)","perennial"
"Paraboea havilandii (Ridl.) B.L.Burtt B.L.Burtt (Ridl.)","no_life_form_on_database"
"Paraboea effusa B.L.Burtt","no_life_form_on_database"
"Paraboea paniculata (Ridl.) B.L.Burtt B.L.Burtt (Ridl.)","no_life_form_on_database"
"Paraboea verticillata (Ridl.) B.L.Burtt B.L.Burtt (Ridl.)","no_life_form_on_database"
"Paraboea tarutaoensis Z.R.Xu & B.L.Burtt","no_life_form_on_database"
"Paraboea suffruticosa (Ridl.) B.L.Burtt B.L.Burtt (Ridl.)","no_life_form_on_database"
"Paraboea burttii Z.R.Xu","no_life_form_on_database"
"Paraboea amplifolia Z.R.Xu & B.L.Burtt","no_life_form_on_database"
"Paraboea vulpina Ridl.","no_life_form_on_database"
"Paraboea glabra (Ridl.) B.L.Burtt B.L.Burtt (Ridl.)","no_life_form_on_database"
"Paraboea clarkei B.L.Burtt","no_life_form_on_database"
"Paraboea divaricata (Ridl.) B.L.Burtt B.L.Burtt (Ridl.)","no_life_form_on_database"
"Paraboea brachycarpa (Ridl.) B.L.Burtt B.L.Burtt (Ridl.)","no_life_form_on_database"
"Paraboea lanata (Ridl.) B.L.Burtt B.L.Burtt (Ridl.)","no_life_form_on_database"
"Paraboea laxa (Ridl.) Ridl. Ridl. (Ridl.)","no_life_form_on_database"
"Paraboea trachyphylla Z.R.Xu & B.L.Burtt","no_life_form_on_database"
"Paraboea acutifolia (Ridl.) B.L.Burtt B.L.Burtt (Ridl.)","no_life_form_on_database"
"Paraboea birmanica (Craib) C.Puglisi C.Puglisi (Craib)","perennial"
"Paraboea glabrescens (Barnett) C.Puglisi C.Puglisi (Barnett)","no_life_form_on_database"
"Paraboea incudicarpa B.L.Burtt","no_life_form_on_database"
"Paraboea glandulosa (B.L.Burtt) C.Puglisi C.Puglisi (B.L.Burtt)","no_life_form_on_database"
"Paraboea barnettiae C.Puglisi","no_life_form_on_database"
"Paraboea subplana (B.L.Burtt) C.Puglisi C.Puglisi (B.L.Burtt)","no_life_form_on_database"
"Paraboea paramartinii Z.R.Xu & B.L.Burtt","perennial"
"Paraboea umbellata (Drake) B.L.Burtt B.L.Burtt (Drake)","no_life_form_on_database"
"Paraboea glutinosa (Hand.-Mazz.) K.Y.Pan K.Y.Pan (Hand.-Mazz.)","perennial"
"Paraboea glanduliflora Barnett","no_life_form_on_database"
"Paraboea swinhoei (Hance) B.L.Burtt B.L.Burtt (Hance)","perennial"
"Paraboea sinensis (Oliv.) B.L.Burtt B.L.Burtt (Oliv.)","perennial"
"Paraboea rufescens (Franch.) B.L.Burtt B.L.Burtt (Franch.)","perennial"
"Paraboea glabrisepala B.L.Burtt","no_life_form_on_database"
"Paraboea crassifolia (Hemsl.) B.L.Burtt B.L.Burtt (Hemsl.)","perennial"
