"species","n_temp","mean_temp","sd_temp","se_temp","within_sp_var_temp"
"Linaria supina var. maritima (DC.) Duby","2","5.633716","0.002275","0.001609","2.7e-05"
"Linaria baligaliensis Patzak","1","5.648798",NA,NA,"5.4e-05"
"Sairocarpus costatus (Wiggins) D.A.Sutton","1","5.657215",NA,NA,"5.4e-05"
"Schweinfurthia latifolia Baker","3","5.636026","0.006178","0.003567","1.8e-05"
"Linaria flava (Poir.) Desf.","1","5.639599",NA,NA,"5.4e-05"
"Kickxia floribunda (Boiss.) Täckh. & Boulos","2","5.65634","0.002719","0.001923","2.7e-05"
"Linaria joppensis Bornm.","1","5.653015",NA,NA,"5.4e-05"
"Linaria sessilis Kuprian.","2","5.647035","0.001497","0.001059","2.7e-05"
"Linaria transiliensis Kuprian.","1","5.650206",NA,NA,"5.4e-05"
"Linaria bordiana subsp. kralikiana (Maire) D.A.Sutton","3","5.630789","0.003766","0.002174","1.8e-05"
"Nanorrhinum ovatum (Benth.) Podlech & Iranshahr","6","5.650321","0.00236","0.000963","9e-06"
"Nanorrhinum cabulicum (Benth.) Podlech & Iranshahr","6","5.652428","0.002672","0.001091","9e-06"
"Linaria pyramidalis subsp. kopetdaghensis (Kuprian.) D.A.Sutton","2","5.652489","0.001241","0.000878","2.7e-05"
"Linaria striatella Kuprian.","3","5.651962","0.001265","0.00073","1.8e-05"
"Linaria fastigiata Chav.","2","5.653892","0.000743","0.000525","2.7e-05"
"Linaria venosa Lindl.","15","5.651458","0.005298","0.001368","4e-06"
"Linaria peltieri Batt.","2","5.647561","0.00374","0.002645","2.7e-05"
"Linaria unaiensis Patzak","5","5.652874","0.001745","0.00078","1.1e-05"
"Linaria michauxii Chav.","8","5.655859","0.002136","0.000755","7e-06"
"Linaria mazandaranensis Hamdi & Assadi","1","5.645624",NA,NA,"5.4e-05"
"Linaria khorasanensis Hamdi & Assadi","1","5.651612",NA,NA,"5.4e-05"
"Chaenorhinum litorale (Bernh. ex Willd.) Fritsch","2","5.632437","0.010631","0.007517","2.7e-05"
"Chaenorhinum johnstonii (Stapf) Pennell","4","5.653452","0.002316","0.001158","1.4e-05"
"Chaenorhinum tuberculatum Speta","1","5.652665",NA,NA,"5.4e-05"
"Chaenorhinum calycinum (Banks & Sol.) P.H.Davis","1","5.649854",NA,NA,"5.4e-05"
"Cymbalaria muelleri (Moris) A.Chev.","1","5.628879",NA,NA,"5.4e-05"
"Nanorrhinum scoparium (Brouss. ex Spreng.) Yousefi & Zarre","2","5.634564","0.030057","0.021254","2.7e-05"
"Linaria bamianica Patzak","5","5.65231","0.003205","0.001433","1.1e-05"
"Linaria schirvanica Fomin","2","5.635486","0.008328","0.005889","2.7e-05"
"Galvezia leucantha subsp. porphyrantha Tye & H.Jäger","1","5.612215",NA,NA,"5.4e-05"
"Sairocarpus breweri (A.Gray) D.A.Sutton","1","5.652665",NA,NA,"5.4e-05"
"Chaenorhinum formenterae Gand.","1","5.614769",NA,NA,"5.4e-05"
"Linaria iconia Boiss. & Heldr.","2","5.647917","0.001246","0.000881","2.7e-05"
"Galvezia elisensii M.O.Dillon & Quip.","1","5.62852",NA,NA,"5.4e-05"
"Galvezia lanceolata Pennell","1","5.635682",NA,NA,"5.4e-05"
"Cymbalaria microcalyx subsp. acutiloba (Boiss. & Heldr.) Greuter","1","5.647036",NA,NA,"5.4e-05"
"Anarrhinum corsicum Jord. & Fourr.","1","5.62492",NA,NA,"5.4e-05"
"Chaenorhinum cryptarum (Boiss. & Hausskn.) Davis","1","5.652314",NA,NA,"5.4e-05"
"Kickxia sieberi Dörfl.","2","5.615679","0.000772","0.000546","2.7e-05"
"Linaria pseudoviscosa Murb.","2","5.645976","0.001498","0.001059","2.7e-05"
"Linaria aeruginea Loscos & J.Pardo","4","5.643855","0.000289","0.000144","1.4e-05"
"Schweinfurthia imbricata Mill.","2","5.641657","0.017055","0.01206","2.7e-05"
"Linaria damascena Boiss. & Gaill.","1","5.653366",NA,NA,"5.4e-05"
"Nanorrhinum macilentum (Decne.) Betsche","1","5.658262",NA,NA,"5.4e-05"
"Sairocarpus vexillocalyculatus (Kellogg) D.A.Sutton","1","5.654067",NA,NA,"5.4e-05"
"Linaria caesia (Pers.) DC.","1","5.643502",NA,NA,"5.4e-05"
"Linaria depauperata var. hegelmaieri (Lange) Nyman","1","5.629239",NA,NA,"5.4e-05"
