"species","life_form","n","mean","sd","se"
"Salvia nilotica","perennial",30,1456.3,220.852134961927,40.3218987306077
"Salvia nipponica","perennial",NA,NA,NA,NA
"Salvia nitida","no_life_form_on_database",6,1790.66666666667,81.3994266974078,33.2311767939553
"Salvia nubicola","perennial",17,1378.29411764706,169.954319122037,41.2199770158877
"Salvia nutans","perennial",44,1037.13636363636,93.0797584742899,14.0323015652783
"Salvia nydeggeri","perennial",NA,NA,NA,NA
"Salvia oaxacana","perennial",5,1643.4,165.128132067192,73.8475456599608
"Salvia occidentalis","annual",138,1701.23188405797,220.278499563954,18.7513511339554
"Salvia officinalis","perennial",78,1246.84615384615,268.787420320738,30.4341823096143
"Salvia omeiana","perennial",4,1057.75,81.9567975622929,40.9783987811465
"Salvia omerocalyx","perennial",1,1117,NA,NA
"Salvia oppositiflora","no_life_form_on_database",14,1316.85714285714,176.713526165006,47.2286764655833
"Salvia orbignaei","perennial",6,1623,107.390874845119,43.8421410669385
"Salvia ovalifolia","perennial",8,1497.5,164.756963867562,58.2503831992301
"Salvia oxyphora","perennial",5,1603.6,83.5751159137695,37.3759280821226
"Salvia pachyphylla","perennial",16,2044.75,301.848858426421,75.4622146066052
"Salvia pachystachya","perennial",4,1275.75,198.234499183837,99.1172495919185
"Salvia palaestina","perennial",10,2220.8,195.016694442069,61.6696936194036
"Salvia palealis","no_life_form_on_database",5,1636.6,201.911614326665,90.2976190162288
"Salvia pallida","perennial",NA,NA,NA,NA
"Salvia palmeri","no_life_form_on_database",NA,NA,NA,NA
"Salvia pansamalensis","perennial",4,1599.25,158.083047794506,79.0415238972529
"Salvia paohsingensis","perennial",NA,NA,NA,NA
"Salvia paramiltiorrhiza","no_life_form_on_database",NA,NA,NA,NA
"Salvia parryi","perennial",8,2328.625,121.980018855549,43.1264492510107
"Salvia patens","perennial",21,1755.7619047619,161.140592267096,35.163760075904
"Salvia pauciflora","no_life_form_on_database",1,1072,NA,NA
"Salvia pauciserrata","perennial",14,1266.78571428571,169.764170620227,45.3713830721946
"Salvia peninsularis","no_life_form_on_database",7,2002.28571428571,115.822729901798,43.776877069823
"Salvia pennellii","perennial",6,1909.16666666667,174.439005576926,71.2144258169961
"Salvia pentstemonoides","no_life_form_on_database",NA,NA,NA,NA
"Salvia perlonga","perennial",1,1917,NA,NA
"Salvia persepolitana","perennial",3,2246,57.1926568713152,33.0201958403237
"Salvia personata","annual",17,1653.82352941176,105.007282660607,25.4680069334573
"Salvia petrophila","no_life_form_on_database",NA,NA,NA,NA
"Salvia phlomoides","perennial",12,1572.08333333333,140.062621276299,40.4325960486378
"Salvia pichinchensis","perennial",5,1095.4,111.397037662588,49.8182697411301
"Salvia pinguifolia","no_life_form_on_database",20,2190.75,146.656015362839,32.7932819660561
"Salvia pinnata","perennial",NA,NA,NA,NA
"Salvia pisidica","perennial",NA,NA,NA,NA
"Salvia platystoma","no_life_form_on_database",1,1784,NA,NA
"Salvia plebeia","annual",218,1444.66055045872,300.066650666301,20.3230779970862
"Salvia plectranthoides","annual",28,1201.67857142857,105.989186580319,20.0300735252535
"Salvia plurispicata","no_life_form_on_database",3,1697,78.8859936870925,45.544849690534
"Salvia poculata","perennial",NA,NA,NA,NA
"Salvia podadena","annual",14,1880.5,122.895671827148,32.8452498781854
"Salvia pogonochila","perennial",NA,NA,NA,NA
"Salvia polystachya","no_life_form_on_database",NA,NA,NA,NA
"Salvia potaninii","perennial",NA,NA,NA,NA
