"species","life_form","n_bio_13","mean_bio_13","sd_bio_13","se_bio_13","within_sp_var_bio_13"
"Salvia munzii","perennial",13,4.051113,0.54585,0.151392,0.017183
"Salvia muscarioides","perennial",4,5.463421,0.277205,0.138602,0.055846
"Salvia myriantha","no_life_form_on_database",4,5.953118,0.27442,0.13721,0.055846
"Salvia namaensis","no_life_form_on_database",9,3.52878,0.632358,0.210786,0.024821
"Salvia nana","perennial",18,4.952572,0.585245,0.137944,0.01241
"Salvia nanchuanensis","annual",5,5.147906,0.209275,0.093591,0.044677
"Salvia napifolia","perennial",NA,NA,NA,NA,NA
"Salvia nepetoides","no_life_form_on_database",12,5.553489,0.351093,0.101352,0.018615
"Salvia nervata","perennial",6,5.830168,0.551915,0.225318,0.037231
"Salvia nervosa","perennial",14,5.22852,0.136874,0.036581,0.015956
"Salvia neurepia","no_life_form_on_database",1,5.669881,NA,NA,0.223385
"Salvia nilotica","perennial",30,5.464356,0.332604,0.060725,0.007446
"Salvia nipponica","perennial",NA,NA,NA,NA,NA
"Salvia nitida","no_life_form_on_database",6,5.477606,0.272766,0.111356,0.037231
"Salvia nubicola","perennial",17,4.372717,1.095781,0.265766,0.01314
"Salvia nutans","perennial",44,4.108272,0.24328,0.036676,0.005077
"Salvia nydeggeri","perennial",NA,NA,NA,NA,NA
"Salvia oaxacana","perennial",5,5.061996,0.170428,0.076218,0.044677
"Salvia occidentalis","annual",138,5.543852,0.451705,0.038452,0.001619
"Salvia officinalis","perennial",78,4.529762,0.389289,0.044078,0.002864
"Salvia omeiana","perennial",4,5.24824,0.67761,0.338805,0.055846
"Salvia omerocalyx","perennial",1,5.342334,NA,NA,0.223385
"Salvia oppositiflora","no_life_form_on_database",14,4.901575,0.393263,0.105104,0.015956
"Salvia orbignaei","perennial",6,4.982318,0.630231,0.257291,0.037231
"Salvia ovalifolia","perennial",8,5.160485,0.107029,0.03784,0.027923
"Salvia oxyphora","perennial",5,5.280133,0.218818,0.097858,0.044677
"Salvia pachyphylla","perennial",16,3.851204,0.395635,0.098909,0.013962
"Salvia pachystachya","perennial",4,4.385864,0.393119,0.196559,0.055846
"Salvia palaestina","perennial",10,3.455861,1.114402,0.352405,0.022338
"Salvia palealis","no_life_form_on_database",5,5.641605,0.292639,0.130872,0.044677
"Salvia pallida","perennial",NA,NA,NA,NA,NA
"Salvia palmeri","no_life_form_on_database",NA,NA,NA,NA,NA
"Salvia pansamalensis","perennial",4,6.057953,0.189232,0.094616,0.055846
"Salvia paohsingensis","perennial",NA,NA,NA,NA,NA
"Salvia paramiltiorrhiza","no_life_form_on_database",NA,NA,NA,NA,NA
"Salvia parryi","perennial",8,4.582341,0.272826,0.096459,0.027923
"Salvia patens","perennial",21,5.19989,0.543126,0.11852,0.010637
"Salvia pauciflora","no_life_form_on_database",1,4.875197,NA,NA,0.223385
"Salvia pauciserrata","perennial",14,5.698306,0.351408,0.093918,0.015956
"Salvia peninsularis","no_life_form_on_database",7,3.579485,0.720317,0.272254,0.031912
"Salvia pennellii","perennial",6,4.65709,0.75494,0.308203,0.037231
"Salvia pentstemonoides","no_life_form_on_database",NA,NA,NA,NA,NA
"Salvia perlonga","perennial",1,5.981414,NA,NA,0.223385
"Salvia persepolitana","perennial",3,4.243498,0.853383,0.492701,0.074462
"Salvia personata","annual",17,5.24318,0.389206,0.094396,0.01314
"Salvia petrophila","no_life_form_on_database",NA,NA,NA,NA,NA
"Salvia phlomoides","perennial",12,4.22047,0.275844,0.079629,0.018615
"Salvia pichinchensis","perennial",5,5.401034,0.42121,0.188371,0.044677
