"species","life_form","n_bio_ai","mean_bio_ai","sd_bio_ai","se_bio_ai","within_sp_var_bio_ai"
"Salvia myriantha","no_life_form_on_database",4,9.306584,0.454308,0.227154,0.076035
"Salvia namaensis","no_life_form_on_database",9,6.90393,0.677249,0.22575,0.033794
"Salvia nana","perennial",18,8.184573,0.454267,0.107072,0.016897
"Salvia nanchuanensis","annual",5,9.028958,0.138788,0.062068,0.060828
"Salvia napifolia","perennial",NA,NA,NA,NA,NA
"Salvia nepetoides","no_life_form_on_database",12,8.806459,0.216225,0.062419,0.025345
"Salvia nervata","perennial",6,9.069827,0.419103,0.171098,0.05069
"Salvia nervosa","perennial",14,9.196876,0.200294,0.053531,0.021724
"Salvia neurepia","no_life_form_on_database",1,9.144841,NA,NA,0.304142
"Salvia nilotica","perennial",30,9.044593,0.309266,0.056464,0.010138
"Salvia nipponica","perennial",NA,NA,NA,NA,NA
"Salvia nitida","no_life_form_on_database",6,8.829988,0.201439,0.082237,0.05069
"Salvia nubicola","perennial",17,8.323209,0.741424,0.179822,0.017891
"Salvia nutans","perennial",44,8.519679,0.173366,0.026136,0.006912
"Salvia nydeggeri","perennial",NA,NA,NA,NA,NA
"Salvia oaxacana","perennial",5,8.24089,0.250436,0.111998,0.060828
"Salvia occidentalis","annual",138,9.091968,0.578511,0.049246,0.002204
"Salvia officinalis","perennial",78,8.633843,0.473589,0.053623,0.003899
"Salvia omeiana","perennial",4,9.198632,0.237719,0.11886,0.076035
"Salvia omerocalyx","perennial",1,9.736015,NA,NA,0.304142
"Salvia oppositiflora","no_life_form_on_database",14,8.592447,1.012286,0.270545,0.021724
"Salvia orbignaei","perennial",6,8.516437,0.771873,0.315116,0.05069
"Salvia ovalifolia","perennial",8,9.297043,0.184519,0.065237,0.038018
"Salvia oxyphora","perennial",5,9.04951,0.297566,0.133076,0.060828
"Salvia pachyphylla","perennial",16,7.549181,0.482023,0.120506,0.019009
"Salvia pachystachya","perennial",4,8.363466,0.28105,0.140525,0.076035
"Salvia palaestina","perennial",10,6.792505,0.878485,0.277801,0.030414
"Salvia palealis","no_life_form_on_database",5,8.87394,0.202289,0.090466,0.060828
"Salvia pallida","perennial",NA,NA,NA,NA,NA
"Salvia palmeri","no_life_form_on_database",NA,NA,NA,NA,NA
"Salvia pansamalensis","perennial",4,9.421563,0.378356,0.189178,0.076035
"Salvia paohsingensis","perennial",NA,NA,NA,NA,NA
"Salvia paramiltiorrhiza","no_life_form_on_database",NA,NA,NA,NA,NA
"Salvia parryi","perennial",8,7.56715,0.298412,0.105505,0.038018
"Salvia patens","perennial",21,8.407577,0.470737,0.102723,0.014483
"Salvia pauciflora","no_life_form_on_database",1,8.717027,NA,NA,0.304142
"Salvia pauciserrata","perennial",14,9.578172,0.354077,0.094631,0.021724
"Salvia peninsularis","no_life_form_on_database",7,6.961395,0.612673,0.231569,0.043449
"Salvia pennellii","perennial",6,7.813057,0.564238,0.230349,0.05069
"Salvia pentstemonoides","no_life_form_on_database",NA,NA,NA,NA,NA
"Salvia perlonga","perennial",1,8.884887,NA,NA,0.304142
"Salvia persepolitana","perennial",3,6.642956,0.095809,0.055315,0.101381
"Salvia personata","annual",17,8.489022,0.447415,0.108514,0.017891
"Salvia petrophila","no_life_form_on_database",NA,NA,NA,NA,NA
"Salvia phlomoides","perennial",12,7.981345,0.185881,0.053659,0.025345
"Salvia pichinchensis","perennial",5,9.260275,0.118128,0.052828,0.060828
"Salvia pinguifolia","no_life_form_on_database",20,7.535358,0.301167,0.067343,0.015207
"Salvia pinnata","perennial",NA,NA,NA,NA,NA
"Salvia pisidica","perennial",NA,NA,NA,NA,NA
"Salvia platystoma","no_life_form_on_database",1,8.34593,NA,NA,0.304142
"Salvia plebeia","annual",219,8.907827,0.624067,0.042171,0.001389
"Salvia plectranthoides","annual",28,9.143348,0.24143,0.045626,0.010862
"Salvia plurispicata","no_life_form_on_database",3,8.714715,0.032203,0.018592,0.101381
