species,life_form,,
Fuchsia insignis Hemsl.,perennial,,
Fuchsia pilaloensis P.E.Berry,perennial,,
Fuchsia inflata Schulze-Menz,perennial,,
Fuchsia glazioviana Taub.,perennial,,
Fuchsia regia (Vand. ex Vell.) Munz Munz (Vand. ex Vell.),perennial,,
Fuchsia hatschbachii P.E.Berry,perennial,,
Fuchsia coccinea Dryand.,perennial,,
Fuchsia bracelinae Munz,perennial,,
Fuchsia brevilobis P.E.Berry,perennial,,
Fuchsia magellanica Lam.,perennial,,
Fuchsia lycioides Andr.,perennial,,
Fuchsia cylindracea Lindl.,perennial,https://naturalhistory2.si.edu/botany/onagraceae/result.cfm?myFrom=tree&genus=Oenothera,manually_included
Fuchsia thymifolia Kunth,perennial,,
Fuchsia microphylla Kunth,perennial,,
Fuchsia verrucosa Hartw. ex Benth.,perennial,,
Fuchsia arborescens Sims,perennial,,
Fuchsia paniculata Lindl.,perennial,,
"Fuchsia jimenezii Breedlove, P.E.Berry & P.H.Raven",perennial,,
Fuchsia fulgens Moc. & Sessé ex DC.,perennial,,
Fuchsia splendens Zucc.,perennial,,
Fuchsia colensoi Hook.fil.,perennial,,
Fuchsia excorticata (J.R.Forst. & G.Forst.) L.fil. L.fil. (J.R.Forst. & G.Forst.),perennial,,
Fuchsia cyrtandroides J.W.Moore,perennial,,
Fuchsia procumbens R.Cunn.,perennial,,
Circaea cordata Royle,perennial,,
Circaea mollis Siebold & Zucc.,perennial,,
Circaea erubescens Franch. & Sav.,perennial,,
Circaea glabrescens (Pamp.) Hand.-Mazz. Hand.-Mazz. (Pamp.),perennial,,
Circaea canadensis Muhl.,perennial,,
Circaea lutetiana L.,perennial,,
Circaea alpina L.,perennial,,
Circaea repens Wall.,perennial,,
Hauya elegans Moc. & Sessé ex DC.,perennial,,
Hauya heydeana Donn.Sm.,perennial,https://naturalhistory2.si.edu/botany/onagraceae/result.cfm?myFrom=tree&genus=Oenothera,manually_included
Ludwigia glandulosa Walter,perennial,,
Ludwigia spathulata Torr. & A.Gray,perennial,,
Ludwigia palustris (L.) Elliott Elliott (L.),perennial,,
Ludwigia ovalis Miq.,perennial,,
Ludwigia sphaerocarpa Elliott,perennial,,
Ludwigia polycarpa Short & R.Peter,perennial,,
Ludwigia arcuata Walter,perennial,,
Ludwigia repens Sw.,perennial,,
Ludwigia brevipes (Long) Eames Eames (Long),perennial,,
Ludwigia alata Elliott,perennial,,
Ludwigia lanceolata Elliott,perennial,,
Ludwigia ravenii C.I Peng,perennial,,
Ludwigia adscendens (L.) Hara Hara (L.),perennial,,
Ludwigia grandiflora (Michx.) Greuter & Burdet Greuter & Burdet (Michx.),perennial,,
Ludwigia peploides (Kunth) P.H.Raven P.H.Raven (Kunth),perennial,https://naturalhistory2.si.edu/botany/onagraceae/result.cfm?myFrom=tree&genus=Oenothera,manually_included
Ludwigia inclinata (L.fil.) Raven Raven (L.fil.),perennial,,
Ludwigia nervosa (Poir.) Hara Hara (Poir.),perennial,,
Ludwigia peruviana (L.) Hara Hara (L.),perennial,,
Ludwigia sedoides (Humb. & Bonpl.) Hara Hara (Humb. & Bonpl.),perennial,,
Ludwigia suffruticosa Walter,perennial,,
Ludwigia octovalvis Jacq.,perennial,https://naturalhistory2.si.edu/botany/onagraceae/result.cfm?myFrom=tree&genus=Oenothera,manually_included
Ludwigia hyssopifolia (G.Don) Exell Exell (G.Don),annual,,
