species,life_form,,
Resetnikia triquetra (DC.),no_life_form_on_database,,
Lutzia cretica (L.) Greuter & Burdet Greuter & Burdet (L.),perennial,,
Alyssoides utriculata (L.) Medik. Medik. (L.),perennial,,
Clastopus vestitus (Desv.) Boiss. Boiss. (Desv.),perennial,,
Clastopus purpureus Bunge,perennial,,
Irania multicaulis (Boiss. & Hohen.) Hadac & Chrtek Hadac & Chrtek (Boiss. & Hohen.),no_life_form_on_database,,
Irania umbellata (Boiss.) Hadac & Chrtek Hadac & Chrtek (Boiss.),no_life_form_on_database,,
Pterygostemon spathulatus V.Boczantzeva,no_life_form_on_database,,
Physoptychis caspica V.Boczantzeva,perennial,,
Hormathophylla longicaulis (Boiss.) Cullen & T.R.Dudley Cullen & T.R.Dudley (Boiss.),perennial,,
Hormathophylla reverchonii (Degen & Hervier) Cullen & T.R.Dudley Cullen & T.R.Dudley (Degen & Hervier),perennial,,
Hormathophylla spinosa (L.) P.Küpfer P.Küpfer (L.),perennial,,
Hormathophylla halimifolia (Boiss.) P.Küpfer P.Küpfer (Boiss.),perennial,,
Hormathophylla lapeyrouseana (Jord.) P.Küpfer P.Küpfer (Jord.),perennial,,
Hormathophylla purpurea (Lag. & Rodr.) P.Küpfer P.Küpfer (Lag. & Rodr.),perennial,,
Hormathophylla cadevalliana (Pau) T.R.Dudley T.R.Dudley (Pau),perennial,,
Bornmuellera baldaccii (Degen) Heywood Heywood (Degen),perennial,,
Bornmuellera dieckii Degen,perennial,,
Bornmuellera tymphaea (Hausskn.) Hausskn. Hausskn. (Hausskn.),perennial,,
"Bornmuellera emarginata (Boiss.) Rešetnik, 2014 Rešetnik, 2014 (Boiss.)",no_life_form_on_database,,
Bornmuellera cappadocica (Willd.) Cullen & T.R.Dudley Cullen & T.R.Dudley (Willd.),perennial,,
Bornmuellera angustifolia (Hausskn. ex Bornm.) Cullen & T.R.Dudley Cullen & T.R.Dudley (Hausskn. ex Bornm.),perennial,,
Phyllolepidum cyclocarpum (Boiss.) L.Cecchi L.Cecchi (Boiss.),perennial,,
Phyllolepidum rupestre (Sweet) Trinajstic Trinajstic (Sweet),perennial,http://dx.doi.org/10.1080/11263504.2011.580789,manually_included
Berteroa orbiculata DC.,annual,,
Berteroa obliqua (Sm.) DC. DC. (Sm.),annual,,
Berteroa incana (L.) DC. DC. (L.),annual,,
Berteroa mutabilis (Vent.) DC. DC. (Vent.),annual,,
Lepidotrichum uechtritzianum (Bornm.) Velen. & Bornm. Velen. & Bornm. (Bornm.),perennial,,
Galitzkya potaninii (Maxim.) V.V.Botschantz. V.V.Botschantz. (Maxim.),perennial,,
Galitzkya macrocarpa (Ikonn.-Gal.) V.V.Botschantz. V.V.Botschantz. (Ikonn.-Gal.),perennial,http://efloras.org/florataxon.aspx?flora_id=2&taxon_id=202103,manually_included
Galitzkya spathulata (Stephan) V.V.Botschantz. V.V.Botschantz. (Stephan),perennial,http://efloras.org/florataxon.aspx?flora_id=2&taxon_id=202103,manually_included
Aurinia gionae (Quézel & Contandr.) Greuter & Burdet Greuter & Burdet (Quézel & Contandr.),perennial,,
Aurinia moreana Tzanoud. & Iatroú,perennial,,
Aurinia saxatilis (L.) Desv. Desv. (L.),perennial,,
Aurinia saxatilis subsp. orientalis (Ard.) T.R.Dudley T.R.Dudley (Ard.),perennial,,
Aurinia petraea (Ard.) Schur Schur (Ard.),perennial,,
Aurinia corymbosa Griseb.,perennial,,
Aurinia leucadea (Guss.) K.Koch K.Koch (Guss.),perennial,,
Aurinia sinuata (L.) Griseb. Griseb. (L.),perennial,,
"Cuprella antiatlantica (Emb. & Maire) Salmerón-Sánchez, Mota & Fuertes Salmerón-Sánchez, Mota & Fuertes (Emb. & Maire)",no_life_form_on_database,,
"Cuprella homalocarpa (Fisch. & C.A.Mey.) Salmerón-Sánchez, Mota & Fuertes Salmerón-Sánchez, Mota & Fuertes (Fisch. & C.A.Mey.)",no_life_form_on_database,,
