"","np","lnLik","DiscLik","ContLik","AIC","dAIC","AICwt"
"Chorisporeae.CID_OUMV",11,23.7002454716339,-4.72087772260286,32.0716004345091,-25.4004909432678,8.03256821585673,0.0110745934457665
"Croton.CID_BM1",4,523.033983145425,-46.9345392144642,572.885313224212,-1038.06796629085,29.0946601578489,4.80794819827651e-07
"Croton.CID_OU1",5,538.58131322435,-47.1073512825033,588.424960791372,-1067.1626264487,0,0.999504973638061
"Croton.CD_BMV",5,527.644820443295,-49.7440183828222,580.834040830752,-1045.28964088659,21.8729855621089,1.77879743022901e-05
"Croton.CD_OUV",6,522.56738652961,-47.0649308508966,572.331926502927,-1033.13477305922,34.0278533894789,4.08066065390759e-08
"Croton.CD_OUM",6,522.078073536936,-48.4480341918372,572.896516819636,-1032.15614707387,35.006479374827,2.50163847602819e-08
"Croton.CD_OUMV",7,532.928014269982,-46.9629209002968,583.070930862893,-1051.85602853996,15.3065979087355,0.000474241390474151
"Croton.CID_BMV",9,523.528543858318,-45.5321265683788,572.758641551935,-1029.05708771664,38.1055387320639,5.31217481980002e-09
"Croton.CID_OUV",10,522.39609574882,-46.1361666306795,572.259129699856,-1024.79219149764,42.3704349510604,6.29740916701205e-10
"Croton.CID_OUM",10,526.645170032326,-49.4934893876037,579.319147271804,-1033.29034006465,33.8722863840476,4.41073967874503e-08
"Croton.CID_OUMV",11,531.641904059489,-46.1574106909169,581.478889324186,-1041.28380811898,25.8788183297222,2.40033003906199e-06
"Erysimeae.CID_BM1",4,69.2905726068748,-26.999589191487,100.079559714503,-130.58114521375,1.11845610329104,0.19815721848591
"Erysimeae.CID_OU1",5,70.5361346672911,-27.300020768288,101.361243265878,-131.072269334582,0.627331982458429,0.253312222471534
"Erysimeae.CD_BMV",5,70.8498006585203,-26.9071938173503,101.346572055648,-131.699601317041,0,0.346640701110713
"Erysimeae.CD_OUV",6,68.9010482617935,-26.903365141499,99.5737048056237,-125.802096523587,5.89750479345375,0.0181657218482077
"Erysimeae.CD_OUM",6,71.0851100526761,-27.1049141505421,102.158391832709,-130.170220105352,1.52938121168856,0.161353594220627
"Erysimeae.CD_OUMV",7,69.6513577143489,-26.9538230109347,100.367159882855,-125.302715428698,6.39688588834295,0.0141518570512423
"Erysimeae.CID_BMV",9,70.7301661708023,-27.0755727375602,101.215535526421,-123.460332341605,8.239268975436,0.00563306845482522
"Erysimeae.CID_OUV",10,68.7733023012333,-27.5203441127649,99.6048548602153,-117.546604602467,14.152996714574,0.000292816379581183
"Erysimeae.CID_OUM",10,70.7334532405364,-27.2304388593535,101.891770461752,-121.466906481073,10.2326948359678,0.00207911304487328
"Erysimeae.CID_OUMV",11,69.4582685911063,-27.1490951174457,100.33398944874,-116.916537182213,14.783064134828,0.000213686932487045
"Euclidieae.CID_BM1",4,28.8808887203411,-10.5007206459643,43.235061798727,-49.7617774406821,5.14090392162687,0.0432146081308057
"Euclidieae.CID_OU1",5,31.4554733331154,-10.4682192319975,45.7884927958161,-52.9109466662307,1.99173469607827,0.208671908357415
"Euclidieae.CD_BMV",5,29.5310259620956,-10.4921564351417,43.2628414447483,-49.0620519241912,5.84062943811782,0.0304569993368466
"Euclidieae.CD_OUV",6,30.9052193155646,-10.5078916819879,45.250837830321,-49.8104386311293,5.09224273117973,0.0442789406866904
"Euclidieae.CD_OUM",6,33.4513406811545,-10.4619746219915,47.6851848078248,-54.902681362309,0,0.564889733458406
"Euclidieae.CD_OUMV",7,32.7642078044015,-10.4938548035314,47.116831949933,-51.5284156088031,3.37426575350592,0.104532462942063
"Euclidieae.CID_BMV",9,29.4568468217698,-10.6791292291313,43.4383658543717,-40.9136936435396,13.9889877187694,0.000517956866598108
"Euclidieae.CID_OUV",10,30.858334041056,-10.6664724393966,45.2298159846736,-41.716668082112,13.186013280197,0.000773850876466269
"Euclidieae.CID_OUM",10,30.816831656669,-10.6009174763217,45.0291398153329,-41.633663313338,13.269018048971,0.000742391553840426
"Euclidieae.CID_OUMV",11,32.7676329462436,-10.6729021957761,47.1334202708194,-43.5352658924872,11.3674154698218,0.00192114779086968
"Eumalvoideae.CID_BM1",4,173.773930609105,-45.4781237719217,223.00287837619,-339.54786121821,9.64412419710607,0.00792366584976546
"Eumalvoideae.CID_OU1",5,179.595992707658,-45.3516086427782,228.701474103242,-349.191985415316,0,0.984285558925365
"Eumalvoideae.CD_BMV",5,174.051167166743,-45.4899449514623,223.163561798476,-338.102334333485,11.0896510818311,0.00384621872450685
"Eumalvoideae.CD_OUV",6,173.866799589617,-45.4160770518341,222.923556221572,-335.733599179234,13.4583862360822,0.0011767106239814
"Eumalvoideae.CD_OUM",6,174.40261070805,-45.3801248458017,222.627573289699,-336.8052214161,12.3867639992166,0.00201080282450662
"Eumalvoideae.CD_OUMV",7,174.385616985092,-45.4754860562983,222.806383986678,-334.771233970184,14.4207514451327,0.000727268411404712
"Eumalvoideae.CID_BMV",9,171.029427570922,-49.4254046985076,222.954877786538,-324.058855141845,25.1331302734715,3.4318730792043e-06
"Eumalvoideae.CID_OUV",10,150.24208490048,-48.6421351433788,202.718422166054,-280.48416980096,68.7078156143568,1.1841549121429e-15
"Eumalvoideae.CID_OUM",10,174.067515126282,-45.4377579402672,223.149432193329,-328.135030252563,21.0569551627531,2.63427673836784e-05
"Eumalvoideae.CID_OUMV",11,152.774047322415,-46.0819202961648,202.103526974963,-283.54809464483,65.6438907704863,5.47937907904756e-15
"Gesneriaceae.CID_BM1",4,570.862691298457,-27.389970830449,602.01574633324,-1133.72538259691,5.10141724563209,0.0524983087175075
"Gesneriaceae.CID_OU1",5,557.470324520799,-27.4241015032355,588.595927823964,-1104.9406490416,33.8861508009468,2.94862700945701e-08
"Gesneriaceae.CD_BMV",5,573.517494415249,-27.392910593032,604.670250213351,-1137.0349888305,1.79181101204722,0.274673761322793
"Gesneriaceae.CD_OUV",6,496.081848528815,-27.398950221535,527.173283548064,-980.16369705763,158.663102784915,2.36945781833866e-35
"Gesneriaceae.CD_OUM",6,575.413399921273,-28.6447891969284,605.874612304134,-1138.82679984255,0,0.672827900471825
"Gesneriaceae.CD_OUMV",7,496.070350040197,-27.434157919381,527.253278224928,-978.140700080393,160.686099762152,8.61709279231907e-36
"Gesneriaceae.CID_BMV",9,551.414099528394,-27.5164175888537,582.671497601804,-1084.82819905679,53.9986007857569,1.26548445982501e-12
