"wcvp_name","gbif_name"
"Gundelia aragatsi subsp. aragatsi","Gundelia aragatsi subsp. aragatsi"
"Gundelia aragatsi subsp. steineri","Gundelia aragatsi subsp. steineri Vitek et al."
"Gundelia armeniaca","Gundelia armeniaca Nersesian"
"Gundelia cilicica","Gundelia cilicica Firat"
"Gundelia colemerikensis","Gundelia colemerikensis Firat"
"Gundelia dersim","Gundelia dersim Vitek, E.Yüce & Ergin"
"Gundelia komagenensis","Gundelia komagenensis Firat"
"Gundelia mesopotamica","Gundelia mesopotamica Firat"
"Gundelia munzuriensis","Gundelia munzuriensis Vitek, E.Yüce & Ergin"
"Gundelia rosea","Gundelia rosea M.Hossain & Al-Taey"
"Gundelia tehranica","Gundelia tehranica Vitek & Noroozi"
"Pilosella peleteriana subsp. megavasconica","Pilosella peleteriana subsp. megavasconica (Mateo, Egido & E.Fidalgo) Mateo Mateo (Mateo, Egido & E.Fidalgo)"
"Pilosella peleteriana subsp. subpeleteriana","Pilosella peleteriana subsp. subpeleteriana (Nägeli & Peter) P.D.Sell P.D.Sell (Nägeli & Peter)"
"Pilosella permutata","Pilosella permutata (Nägeli & Peter) Soják Soják (Nägeli & Peter)"
"Pilosella × peteriana","Pilosella peteriana (Käser) Holub Holub (Käser)"
"Pilosella petraea","Pilosella petraea F.W.Schultz & Sch.Bip."
"Pilosella piloselliflora","Pilosella piloselliflora (Nägeli & Peter) Soják Soják (Nägeli & Peter)"
"Vangueria rufescens subsp. rufescens","Vangueria rufescens subsp. rufescens"
"Pilosella pilosellina","Pilosella pilosellina (F.W.Schultz) Soják Soják (F.W.Schultz)"
"Pilosella piloselloides","Pilosella piloselloides (Vill.) Soják Soják (Vill.)"
"Pilosella piloselloides subsp. piloselloides","Pilosella piloselloides subsp. piloselloides"
"Pilosella bauhini","Pilosella bauhini (Schult.) Arv.-Touv. Arv.-Touv. (Schult.)"
"Lallemantia baldshuanica","Lallemantia baldshuanica Gontsch."
"Lallemantia canescens","Lallemantia canescens (L.) Fisch. & C.A.Mey. Fisch. & C.A.Mey. (L.)"
"Lallemantia iberica","Lallemantia iberica (M.Bieb.) Fisch. & C.A.Mey. Fisch. & C.A.Mey. (M.Bieb.)"
"Pilosella prussica","Pilosella prussica (Nägeli & Peter) Soják Soják (Nägeli & Peter)"
"Lallemantia peltata","Lallemantia peltata (L.) Fisch. & C.A.Mey. Fisch. & C.A.Mey. (L.)"
"Lallemantia royleana","Lallemantia royleana (Benth.) Benth. Benth. (Benth.)"
"Melaleuca hakeifolia var. hakeifolia","Melaleuca hakeifolia var. hakeifolia"
"Anthurium brittonianum","Anthurium brittonianum Sodiro"
"Pilosella piloselloides subsp. floccosa","Pilosella piloselloides subsp. floccosa (Nägeli & Peter) S.Bräut. & Greuter S.Bräut. & Greuter (Nägeli & Peter)"
"Pilosella piloselloides subsp. magyarica","Pilosella piloselloides subsp. magyarica (Peter) S.Bräut. & Greuter S.Bräut. & Greuter (Peter)"
"Anthurium bromelicola","Anthurium bromelicola Mayo & L.P.Félix"
"Pilosella piloselloides subsp. praealta","Pilosella piloselloides subsp. praealta (Gochnat) S.Bräut. & Greuter S.Bräut. & Greuter (Gochnat)"
"Pilosella piloselloides subsp. rubrobauhinii","Pilosella piloselloides subsp. rubrobauhinii (Schelk. & Zahn) S.Bräut. & Greuter S.Bräut. & Greuter (Schelk. & Zahn)"
"Pilosella pinea","Pilosella pinea (Schischk. & Serg.) Tupitz. Tupitz. (Schischk. & Serg.)"
"Pilosella pintodasilva","Pilosella pintodasilva (de Retz) Mateo Mateo (de Retz)"
"Pilosella plaicensis","Pilosella plaicensis (Wol.) Soják Soják (Wol.)"
"Pilosella polioderma","Pilosella polioderma (Dahlst.) Soják Soják (Dahlst.)"
"Pilosella × polymastix","Pilosella polymastix (Peter) Holub Holub (Peter)"
