"wcvp_name","gbif_name"
"Erythranthe tenella","Erythranthe tenella (Bunge) G.L.Nesom G.L.Nesom (Bunge)"
"Erythranthe nasuta","Erythranthe nasuta (Greene) G.L.Nesom G.L.Nesom (Greene)"
"Erythranthe orizabae","Erythranthe orizabae (Benth.) G.L.Nesom G.L.Nesom (Benth.)"
"Erythranthe minor","Erythranthe minor (A.Nelson) G.L.Nesom G.L.Nesom (A.Nelson)"
"Erythranthe stolonifera","Erythranthe stolonifera (Novopokr.) G.L.Nesom G.L.Nesom (Novopokr.)"
"Erythranthe arenicola","Erythranthe arenicola (Pennell) G.L.Nesom G.L.Nesom (Pennell)"
"Erythranthe nudata","Erythranthe nudata (Curran ex Greene) G.L.Nesom G.L.Nesom (Curran ex Greene)"
"Erythranthe scouleri","Erythranthe scouleri (Hook.) G.L.Nesom G.L.Nesom (Hook.)"
"Acalypha peduncularis","Acalypha peduncularis Meisn. ex C.Krauss"
"Erythranthe latidens","Erythranthe latidens (A.Gray) G.L.Nesom G.L.Nesom (A.Gray)"
"Erythranthe ampliata","Erythranthe ampliata (A.L.Grant) G.L.Nesom G.L.Nesom (A.L.Grant)"
"Erythranthe arenaria","Erythranthe arenaria (A.L.Grant) G.L.Nesom G.L.Nesom (A.L.Grant)"
"Erythranthe geniculata","Erythranthe geniculata (Greene) G.L.Nesom G.L.Nesom (Greene)"
"Erythranthe rupestris","Erythranthe rupestris (Greene) G.L.Nesom & N.S.Fraga G.L.Nesom & N.S.Fraga (Greene)"
"Erythranthe alsinoides","Erythranthe alsinoides (Douglas ex Benth.) G.L.Nesom & N.S.Fraga G.L.Nesom & N.S.Fraga (Douglas ex Benth.)"
"Erythranthe inflatula","Erythranthe inflatula (Suksd.) G.L.Nesom G.L.Nesom (Suksd.)"
"Diplacus thompsonii","Diplacus thompsonii G.L.Nesom"
"Diplacus clivicola","Diplacus clivicola (Greenm.) G.L.Nesom G.L.Nesom (Greenm.)"
"Diplacus brevipes","Diplacus brevipes (Benth.) G.L.Nesom G.L.Nesom (Benth.)"
"Diplacus bolanderi","Diplacus bolanderi (A.Gray) G.L.Nesom G.L.Nesom (A.Gray)"
"Diplacus parryi","Diplacus parryi (A.Gray) G.L.Nesom & N.S.Fraga G.L.Nesom & N.S.Fraga (A.Gray)"
"Salix purpurea f. gracilis","Salix purpurea f. gracilis Wimm."
"Salix issatissensis","Salix issatissensis Maassoumi, Moeeni & Rahimin."
"Homalomena wallichii","Homalomena wallichii Schott"
"Erythranthe corallina","Erythranthe corallina (Greene) G.L.Nesom G.L.Nesom (Greene)"
"Erythranthe hallii","Erythranthe hallii (Greene) G.L.Nesom G.L.Nesom (Greene)"
"Erythranthe tibetica","Erythranthe tibetica (P.C.Tsoong & H.P.Yang) G.L.Nesom G.L.Nesom (P.C.Tsoong & H.P.Yang)"
"Erythranthe glaucescens","Erythranthe glaucescens (Greene) G.L.Nesom G.L.Nesom (Greene)"
"Diplacus × australis","Diplacus australis McMinn"
"Diplacus rupicola","Diplacus rupicola (Coville & A.L.Grant) G.L.Nesom & N.S.Fraga G.L.Nesom & N.S.Fraga (Coville & A.L.Grant)"
"Diplacus johnstonii","Diplacus johnstonii (A.L.Grant) G.L.Nesom G.L.Nesom (A.L.Grant)"
"Diplacus jepsonii","Diplacus jepsonii (A.L.Grant) G.L.Nesom G.L.Nesom (A.L.Grant)"
"Diplacus fremontii","Diplacus fremontii (Benth.) G.L.Nesom G.L.Nesom (Benth.)"
"Diplacus cusickii","Diplacus cusickii (Greene) G.L.Nesom G.L.Nesom (Greene)"
"Diplacus constrictus","Diplacus constrictus (A.L.Grant) G.L.Nesom G.L.Nesom (A.L.Grant)"
"Diplacus bigelovii","Diplacus bigelovii (A.Gray) G.L.Nesom G.L.Nesom (A.Gray)"
"Diplacus leptaleus","Diplacus leptaleus (A.Gray) G.L.Nesom G.L.Nesom (A.Gray)"
"Diplacus kelloggii","Diplacus kelloggii (Curran ex Greene) G.L.Nesom G.L.Nesom (Curran ex Greene)"
"Diplacus douglasii","Diplacus douglasii (Benth.) G.L.Nesom G.L.Nesom (Benth.)"
"Diplacus congdonii","Diplacus congdonii (B.L.Rob.) G.L.Nesom G.L.Nesom (B.L.Rob.)"
"Diplacus tricolor","Diplacus tricolor (Hartw. ex Lindl.) G.L.Nesom G.L.Nesom (Hartw. ex Lindl.)"
"Diplacus pygmaeus","Diplacus pygmaeus (A.L.Grant) G.L.Nesom G.L.Nesom (A.L.Grant)"
"Erythranthe verbenacea","Erythranthe verbenacea (Greene) G.L.Nesom & N.S.Fraga G.L.Nesom & N.S.Fraga (Greene)"
"Erythranthe jungermannioides","Erythranthe jungermannioides (Suksd.) G.L.Nesom G.L.Nesom (Suksd.)"
"Erythranthe lutea var. variegata","Erythranthe lutea var. variegata (Lodd.) G.L.Nesom G.L.Nesom (Lodd.)"
"Erythranthe moschata","Erythranthe moschata (Douglas ex Lindl.) G.L.Nesom G.L.Nesom (Douglas ex Lindl.)"
"Erythranthe hymenophylla","Erythranthe hymenophylla (Meinke) G.L.Nesom G.L.Nesom (Meinke)"
"Erythranthe suksdorfii","Erythranthe suksdorfii (A.Gray) N.S.Fraga N.S.Fraga (A.Gray)"
"Erythranthe lutea","Erythranthe lutea (L.) G.L.Nesom G.L.Nesom (L.)"
"Erythranthe filicaulis","Erythranthe filicaulis (S.Watson) G.L.Nesom & N.S.Fraga G.L.Nesom & N.S.Fraga (S.Watson)"
"Erythranthe linearifolia","Erythranthe linearifolia (A.L.Grant) G.L.Nesom & N.S.Fraga G.L.Nesom & N.S.Fraga (A.L.Grant)"
"Erythranthe pennellii","Erythranthe pennellii (Gentry) G.L.Nesom G.L.Nesom (Gentry)"
"Erythranthe shevockii","Erythranthe shevockii (Heckard & Bacig.) N.S.Fraga N.S.Fraga (Heckard & Bacig.)"
"Erythranthe patula","Erythranthe patula (Pennell) G.L.Nesom G.L.Nesom (Pennell)"
"Erythranthe madrensis","Erythranthe madrensis (Seem.) G.L.Nesom G.L.Nesom (Seem.)"
"Erythranthe norrisii","Erythranthe norrisii (Heckard & Shevock) G.L.Nesom G.L.Nesom (Heckard & Shevock)"
"Erythranthe pulsiferae","Erythranthe pulsiferae (A.Gray) G.L.Nesom G.L.Nesom (A.Gray)"
"Erythranthe washingtonensis","Erythranthe washingtonensis (Gand.) G.L.Nesom G.L.Nesom (Gand.)"
"Erythranthe lewisii","Erythranthe lewisii (Pursh) G.L.Nesom & N.S.Fraga G.L.Nesom & N.S.Fraga (Pursh)"
"Homalomena zollingeri","Homalomena zollingeri Schott"
